101,         Athena Whitaker,         Markham,         Worker
102,         Macey Kelley,         Toronto,         Worker
103,         Ezekiel Villegas,         Oakville,         Salesman
104,         Cordell Lyons,         Burlington,         Manager
105,         Annie Hess,         Brampton,         Supervisor
106,         Maria Yates,         Mississauga,        Worker
107,         Cassandra Fernandez,         Pickering,        Supervisor
108,         Chandler Baldwin,         Orangeville,        Administrative support
109,        Linda Bates,         Hamilton,         Worker
110,         Connor Gates,         Milton,        Salesman
